compound,ppm,intensity,n_neighbors,j_hz_typical,exchangeable,nucleus,multiplicity_model,multiplicity_true,integral_protons,equivalent_nuclei,functional_group,carbon_type,attached_h_count,reference_solvent,component_weight,source_intensity,linewidth
ethanol,3.66,0.3335,3,7.1,False,1H,q,q,2.0,2,CH2-O,,,CDCl3,0.5,0.667,0.006
ethanol,1.18,0.5,2,7.1,False,1H,t,t,3.0,3,alkyl CH3,,,CDCl3,0.5,1.0,0.006
ethanol,1.5,0.1665,0,7.0,True,1H,br s,br s,1.0,1,alcohol OH,,,CDCl3,0.5,0.333,0.006
tetrahydrofuran,3.76,0.5,0,7.0,False,1H,m,m,4.0,4,O-CH2,,,CDCl3,0.5,1.0,0.006
tetrahydrofuran,1.85,0.5,0,7.0,False,1H,m,m,4.0,4,beta-CH2 to O,,,CDCl3,0.5,1.0,0.006
