compound,ppm,intensity,n_neighbors,j_hz_typical,exchangeable,nucleus,multiplicity_model,multiplicity_true,integral_protons,equivalent_nuclei,functional_group,carbon_type,attached_h_count,reference_solvent,component_weight,source_intensity,linewidth
acetic_acid,178.6,0.34,0,7.0,False,13C,s,decoupled,,1,carboxylic acid carbonyl,quaternary,0.0,CDCl3,0.34,1.0,0.28
acetic_acid,20.9,0.34,0,7.0,False,13C,s,decoupled,,1,methyl next to carboxyl,CH3,3.0,CDCl3,0.34,1.0,0.28
ethanol,58.3,0.33,0,7.0,False,13C,s,decoupled,,1,CH2-O,CH2,2.0,CDCl3,0.33,1.0,0.28
ethanol,18.4,0.33,0,7.0,False,13C,s,decoupled,,1,alkyl CH3,CH3,3.0,CDCl3,0.33,1.0,0.28
ethyl_acetate,170.8,0.33,0,7.0,False,13C,s,decoupled,,1,ester carbonyl,quaternary,0.0,CDCl3,0.33,1.0,0.28
ethyl_acetate,60.3,0.33,0,7.0,False,13C,s,decoupled,,1,O-CH2,CH2,2.0,CDCl3,0.33,1.0,0.28
ethyl_acetate,20.8,0.33,0,7.0,False,13C,s,decoupled,,1,acetyl CH3,CH3,3.0,CDCl3,0.33,1.0,0.28
ethyl_acetate,14.2,0.33,0,7.0,False,13C,s,decoupled,,1,terminal CH3,CH3,3.0,CDCl3,0.33,1.0,0.28
