compound,ppm,intensity,n_neighbors,j_hz_typical,exchangeable,nucleus,multiplicity_model,multiplicity_true,integral_protons,equivalent_nuclei,functional_group,carbon_type,attached_h_count,reference_solvent,component_weight,source_intensity,linewidth
ethanol,58.3,0.5,0,7.0,False,13C,s,decoupled,,1,CH2-O,CH2,2.0,CDCl3,0.5,1.0,0.28
ethanol,18.4,0.5,0,7.0,False,13C,s,decoupled,,1,alkyl CH3,CH3,3.0,CDCl3,0.5,1.0,0.28
tetrahydrofuran,67.7,0.5,0,7.0,False,13C,s,decoupled,,2,O-CH2,CH2,2.0,CDCl3,0.5,1.0,0.28
tetrahydrofuran,25.7,0.5,0,7.0,False,13C,s,decoupled,,2,beta CH2 to O,CH2,2.0,CDCl3,0.5,1.0,0.28
