compound,ppm,intensity,n_neighbors,j_hz_typical,exchangeable,nucleus,multiplicity_model,multiplicity_true,integral_protons,equivalent_nuclei,functional_group,carbon_type,attached_h_count,reference_solvent,component_weight,source_intensity,linewidth
propanol,3.6,0.667,2,6.7,False,1H,t,t,2.0,2,CH2-O,,,CDCl3,1.0,0.667,0.006
propanol,1.58,0.667,5,7.0,False,1H,sext,sext,2.0,2,middle CH2,,,CDCl3,1.0,0.667,0.006
propanol,0.93,1.0,2,7.4,False,1H,t,t,3.0,3,terminal CH3,,,CDCl3,1.0,1.0,0.006
propanol,1.7,0.333,0,7.0,True,1H,br s,br s,1.0,1,alcohol OH,,,CDCl3,1.0,0.333,0.006
